,ver,hor,y
0,6.43E-01,4.71E-01,0.00E+00
1,7.03E-01,4.45E-01,0.00E+00
2,8.08E-01,3.97E-01,0.00E+00
3,6.79E-01,3.82E-01,0.00E+00
4,7.01E-01,3.66E-01,0.00E+00
5,6.88E-01,4.32E-01,0.00E+00
6,6.76E-01,4.97E-01,0.00E+00
7,7.08E-01,5.14E-01,0.00E+00
8,6.92E-01,4.90E-01,0.00E+00
9,6.76E-01,4.66E-01,0.00E+00
10,6.35E-01,5.16E-01,0.00E+00
11,6.26E-01,4.80E-01,0.00E+00
12,7.18E-01,5.32E-01,0.00E+00
13,9.55E-01,4.58E-01,0.00E+00
14,8.26E-01,4.97E-01,0.00E+00
15,7.82E-01,5.20E-01,0.00E+00
16,7.39E-01,5.43E-01,0.00E+00
17,7.68E-01,5.80E-01,0.00E+00
18,5.94E-01,7.01E-01,0.00E+00
19,5.95E-01,7.04E-01,0.00E+00
20,5.96E-01,7.07E-01,0.00E+00
21,5.97E-01,7.09E-01,0.00E+00
22,5.98E-01,7.12E-01,0.00E+00
23,5.99E-01,7.14E-01,0.00E+00
24,6.00E-01,7.17E-01,0.00E+00
25,6.00E-01,7.19E-01,0.00E+00
26,6.01E-01,7.22E-01,0.00E+00
27,6.02E-01,7.25E-01,0.00E+00
28,7.46E-01,7.09E-01,0.00E+00
29,8.89E-01,6.94E-01,0.00E+00
30,8.08E-01,6.83E-01,0.00E+00
31,7.26E-01,6.73E-01,0.00E+00
32,6.45E-01,6.62E-01,0.00E+00
33,5.64E-01,6.51E-01,0.00E+00
34,5.77E-01,5.76E-01,0.00E+00
35,5.91E-01,6.43E-01,0.00E+00
36,6.54E-01,5.89E-01,0.00E+00
37,5.36E-01,5.83E-01,0.00E+00
38,6.38E-01,6.51E-01,0.00E+00
39,5.99E-01,6.04E-01,0.00E+00
40,5.52E-01,6.10E-01,0.00E+00
41,5.77E-01,6.84E-01,0.00E+00
42,7.08E-01,6.79E-01,0.00E+00
43,6.22E-01,6.73E-01,0.00E+00
44,5.36E-01,6.66E-01,0.00E+00
45,5.93E-01,6.16E-01,0.00E+00
46,5.17E-01,6.40E-01,0.00E+00
47,4.83E-01,6.30E-01,0.00E+00
48,5.71E-01,6.57E-01,0.00E+00
49,5.52E-01,6.53E-01,0.00E+00
50,5.88E-01,6.44E-01,0.00E+00
51,5.71E-01,6.57E-01,0.00E+00
52,5.55E-01,6.40E-01,0.00E+00
53,6.07E-01,6.52E-01,0.00E+00
54,6.07E-01,6.38E-01,0.00E+00
55,6.54E-01,6.88E-01,0.00E+00
56,5.38E-01,6.21E-01,0.00E+00
57,5.19E-01,6.08E-01,0.00E+00
58,7.77E-01,6.80E-01,0.00E+00
59,6.25E-01,6.66E-01,0.00E+00
60,7.08E-01,6.89E-01,0.00E+00
61,8.50E-01,7.22E-01,0.00E+00
62,7.08E-01,7.08E-01,0.00E+00
63,6.07E-01,6.66E-01,0.00E+00
64,5.71E-01,6.45E-01,0.00E+00
65,6.54E-01,7.02E-01,0.00E+00
66,5.77E-01,6.45E-01,0.00E+00
67,7.08E-01,6.98E-01,0.00E+00
68,6.89E-01,7.29E-01,0.00E+00
69,6.52E-01,6.95E-01,0.00E+00
70,6.15E-01,6.62E-01,0.00E+00
71,5.58E-01,6.26E-01,0.00E+00
72,5.93E-01,6.62E-01,0.00E+00
73,5.71E-01,6.48E-01,0.00E+00
74,7.08E-01,6.93E-01,0.00E+00
75,6.82E-01,7.11E-01,0.00E+00
76,6.33E-01,6.93E-01,0.00E+00
77,5.84E-01,6.76E-01,0.00E+00
78,5.36E-01,6.58E-01,0.00E+00
79,5.55E-01,6.30E-01,0.00E+00
80,6.54E-01,6.65E-01,0.00E+00
81,6.07E-01,6.75E-01,0.00E+00
82,5.71E-01,6.58E-01,0.00E+00
83,6.07E-01,6.61E-01,0.00E+00
84,6.82E-01,7.02E-01,0.00E+00
85,6.44E-01,7.43E-01,0.00E+00
86,6.15E-01,6.42E-01,0.00E+00
87,6.89E-01,7.16E-01,0.00E+00
88,5.55E-01,6.39E-01,0.00E+00
89,6.54E-01,6.66E-01,0.00E+00
90,5.55E-01,6.62E-01,0.00E+00
91,7.46E-01,6.79E-01,0.00E+00
92,5.38E-01,6.53E-01,0.00E+00
93,5.77E-01,6.62E-01,0.00E+00
94,6.15E-01,6.35E-01,0.00E+00
95,5.77E-01,6.62E-01,0.00E+00
96,6.15E-01,6.35E-01,0.00E+00
97,6.07E-01,6.48E-01,0.00E+00
98,5.58E-01,6.43E-01,0.00E+00
99,6.07E-01,6.62E-01,0.00E+00
100,6.29E-01,6.66E-01,0.00E+00
101,5.71E-01,6.43E-01,0.00E+00
102,5.38E-01,6.48E-01,0.00E+00
103,5.77E-01,6.26E-01,0.00E+00
104,5.88E-01,6.43E-01,0.00E+00
105,6.26E-01,6.98E-01,0.00E+00
106,6.07E-01,6.66E-01,0.00E+00
107,6.15E-01,6.62E-01,0.00E+00
108,5.71E-01,6.71E-01,0.00E+00
109,5.93E-01,6.56E-01,0.00E+00
110,6.54E-01,6.75E-01,0.00E+00
111,6.54E-01,6.70E-01,0.00E+00
112,6.32E-01,6.34E-01,0.00E+00
113,6.54E-01,6.75E-01,0.00E+00
114,6.29E-01,6.48E-01,0.00E+00
115,6.79E-01,6.99E-01,0.00E+00
116,6.07E-01,6.66E-01,0.00E+00
117,6.50E-01,6.70E-01,0.00E+00
118,6.92E-01,6.74E-01,0.00E+00
119,5.71E-01,6.40E-01,0.00E+00
