,title,body,date,news
0,"[윤영준의 입시노트]긴급이슈, 서울대학교 '2023 신입학생 입학전...",2학기 기말고사까지 모집단위 관련 교과목을 충실히 이수하고 수업시간에 적극적으로 참여해 평가에서 우수한 성적을 받을 수 있도록 해야 한다. # 정시 지역균형전형 신설..., 2020.11.04 , 여성경제신문 
1,"포항대학교, 기말고사 치르는 학생들에게 간식 지원",포항대학교는 지난 7일 기말고사기간을 맞아 교내 평보도서관 북카페에서 학생들에게 간식을 지원했다., 2020.07.09 , 경북매일 
2,대학교 기말고사 대면-비대면 여부 두고 대학들 고심,도내 대학들의 1학기 기말고사가 코앞으로 다가오면서 대면 시험을 두고 각 학교들이...진행하는 것으로 알려졌다. 전북대학교 A교수는 “비대면의 경우에는 변별력을..., 2020.06.14 , 전북도민일보 
3,"[인공지능시대 미래교육] 시험, 언제까지 펜으로?...""디지털 시험...",2학기 기말고사는 기존과는 다른 새로운 방식으로 진행해 보았습니다. 배운 내용을 머릿속에 담아두는 것이 아닌 영상발표를 통해 지식을 전달하는 능력을 기르는 교육법은..., 2020.11.04 , 에듀인뉴스 
4,[포토뉴스] 계명대학교 기말고사 대면시험...밀집도 줄여 2주간에...,23일 계명대학교 강의실에서 치러진 기말고사 교양과목 초급 독일어 대면시험에서 학생들이 거리두기를 하며 시험 준비를 하고 있다. 계명대는 학생들의 시험 공정성과..., 2020.06.24 , 매일신문 
5,"세계를 향한 문화 발신지, 계원예술대학교",예술대학교(총장 송수근)는 1993년 설립 이래 국내 유일의 예술 디자인 교육 특성화 대학으로서 ‘예술·디자인·과학기술의 융합을 통한 창조적 문화산업의 리더 양성..., 2020.10.29 , 대학저널 
6,"정재승 ""ABC 학점 없앤 이유? 줄세우면 어차피 AI가 1등""","고등학교, 대학교까지 모두, 우리 모두는 머릿속에 똑같은 지식을 집어넣고 중간고사, 기말고사로 점수를 토해내게 하고 실수 없이 외우라고 하고 그걸로 한 줄 세우고 대학...", 2020.10.23 , 노컷뉴스 
7,숭실대 중간고사 이후도 전면 비대면..올해는 비대면으로만,비대면 수업을 지속하기로 했다. 숭실대학교는 6일 교무위원회를 열고 2학기 중간고사...수 있도록 했다. 한편 2학기 중간·기말고사와 관련해 숭실대는 시험방법을 교원..., 2020.10.06 , 뉴스1 
8,군산대학교 아침밥이 1천 원인 이유,군산대학교에서 시험 기간 학생들에게 아침밥이 1천 원에 제공된다.해마다 중간고사와 기말고사 동안 학생들의 건강한 대학 생활을 지원하기 위해 `따뜻한 천원의 아침밥..., 2020.10.20 , 전라일보 
9,"이화여대, 중간고사 기간 ‘든든한 이화사랑’ 행사 개최",여자대학교는 19일 중간고사 시험기간 동안 재학생들에게 간식을 제공하는 ‘든든한 이화사랑’ 프로그램을 실시했다. ‘든든한 이화사랑’은 2006년 도입 이후부터 학생들..., 2020.10.19 , 에듀인뉴스 
