,title,body,date,news
0,"국표원, 비대면 시험인증 도입..설명회 개최",개정하기로 했다. 이에 따라 산업부 인증기관과 관련 협회ㆍ단체를 대상으로 ‘비대면 시험 인증제도 설명회’를 개최해 제도 시행의 구체적 방법과 앞으로의 일정을 소개...,,
1,비대면 시험인증 도입..기업 코로나 극복 지원,알렸다. 이에 따라 산업부는 이날 인증기관 및 관련 협회·단체를 대상으로 '비대면 시험·인증제도 설명회'를 열고 제도 시행의 구체적 방법 및 향후 일정을 소개했다..., 2020.10.28 , 아시아경제 
2,"국표원, 비대면 시험·인증제도 설명회 개최",개정하기로 했다. 이에 산업부는 이날 인증기관 및 관련 협회·단체를 대상으로 '비대면 시험·인증제도 설명회'를 개최하고 제도 시행의 구체적 방법 및 향후 일정을 소개..., 2020.10.28 , 파이낸셜뉴스 
3,"국표원, '비대면 시험인증' 도입..기업 코로나 위기 극복 지원",28일 서울 서초구 엘타워에서 인증기관 및 관련 협회·단체를 대상으로 '비대면 시험·인증제도 설명회'를 개최했다. 설명회 참석이 어려운 기업과 단체들 이해를 돕기 위해...,,
4,코로나에 인증·인정 심사지연..'비대면 시험인증'으로 불편 해소...,감염증(코로나19)의 확산에 따른 인증·인정 심사 지연을 방지하기 위한 '비대면 시험인증'이 도입된다. 산업통상자원부 국가기술표준원은 28일 오후 서울 서초구 엘타워..., 2020.10.28 , 뉴스1 
5,비대면 시험인증 도입에 업계 초미 관심,"교육 평가 체계 구축을 추진할 예정이며, 지난 10월 28일 온·오프라인 생중계로 비대면 시험인증 도입에 대한 설명회를 진행했다. 이날 행사에서는 ▲비대면 시험인증제도...", 2020.10.30 , 전기신문 
6,변호사 시험 중 출산한 美 슈퍼맘..비대면 시험의 비애,"다시 이어서 시험을 마친 한 여성의 이야기가 화제인데요. 코로나 시대, 비대면 시험의 미래에 대해 시사하는 점이 있습니다. 취재 기자와 얘기 나눠보겠습니다. 용경빈...", 2020.10.19 , EBS 
7,변호사 시험 중 출산한 美 슈퍼맘..비대면 시험의 비애,"다시 이어서 시험을 마친 한 여성의 이야기가 화제인데요. 코로나 시대, 비대면 시험의 미래에 대해 시사하는 점이 있습니다. 취재 기자와 얘기 나눠보겠습니다. 박민영...", 2020.10.19 , EBS 
8,"홍익대 비대면 시험 중 음란물 소리가?..대학 측, 조사 나서",음란물 재생”‘학생에게 사적인 만남 제안’ 제보도 여럿 홍익대 원어민 교수가 비대면 시험 중 음란물로 추정되는 영상을 재생했다는 주장이 나와 학교가 조사에 착수했다..., 2020.10.28 , 서울신문 
9,"국표원, 비대면 시험인증 도입한다","절차 검토 후 비대면방식을 도입한다. 국가기술표준원 이승우 원장은 “금번 비대면 시험인증제도 도입은 향후 코로나와 같은 제2, 제3의 팬데믹 상황이 발생하더라도 기업...", 2020.10.29 , CCTV뉴스 
10,"국표원, 비대면 시험인증 도입..설명회 개최",개정하기로 했다. 이에 따라 산업부 인증기관과 관련 협회ㆍ단체를 대상으로 ‘비대면 시험 인증제도 설명회’를 개최해 제도 시행의 구체적 방법과 앞으로의 일정을 소개...,,
