,title
0,비대면 시대 속 온라인 시험 'HME 해법수학 학력평가' 8일 접수 마감
1,"삼성 온라인시험 ""휴~이번엔 불싸트 아니네"""
2,"""온라인 시험 반가워"" 부담 없이 응시 가능한 'HME 해법수학 학력..."
4,삼성 두번째 온라인 시험..상반기보다 난이도 평이한 듯
5,"삼성 하반기 온라인 시험 첫날 종료..""이번엔 불싸트 아냐""(종합)"
6,"삼성 두번째 온라인 시험 진행.. ""상반기보다 난이도 평이"""
7,"이번 삼성 온라인시험 문제 봤더니.. ""비 오는 날 다음 비 올 확..."
8,"삼성 온라인시험 문제 보니..""비오는날 다음 비올 확률은?"""
9,"""온라인 시험 보는데 교수님 화면서 신음 소리""..홍대 진상조사"
20,"온라인시험 중 음란물 재생?..홍대, 원어민교수 조사 착수"
22,"""온라인 시험 중 음란물 재생됐다"".. 홍익대 원어민 교수 조사"
23,"""온라인시험서 음란물 재생됐다""..홍익대, 원어민 교수 조사중"
24,온라인 시험 중 음란물 소리..홍익대 원어민 교수 조사 중
25,"""온라인 시험 중 '음란물 의심' 영상 재생""..홍익대, 조사 착수"
26,"""온라인 시험 보는데 신음 소리가""..홍대, 진상 조사중"
27,"""온라인 시험 중 신음소리"" ""사적 연락해"" 홍대 교수 논란"
28,삼성 두번째 온라인 시험··· '불싸트'는 아니었네
29,온라인 시험 도중 음란물 재생?..홍익대 원어민 교수 조사중
30,삼성 두번째 온라인 시험··· 상반기보다 난이도 평이
31,삼성 두번째 온라인 시험 실시…상반기보다 난이도 평이
32,삼성 하반기 GSAT 온라인 시험…상반기보다 난이도 평이
33,"삼성, 하반기 공채 31일부터 이틀간 '온라인 시험'"
34,삼성 두번째 GSAT 온라인 시험 진행…상반기보다 원활
35,"""GSAT, 난이도 평이""...삼성 하반기 온라인 시험 1일차 종료"
36,"삼성 하반기 온라인 시험 첫날 종료···""달라진 유형 속 난이도..."
38,홍익대서 온라인 시험 도중 '음란물' 의심 영상 재생..원어민 교...
39,"""온라인 시험 도중 음란물 재생""..홍대, 원어민 교수 조사 착수"
40,"전남대, 온라인 시험·강의·회의 등 교육혁신 '앞장'"
41,"삼성, 코로나19 속 하반기 GSAT 온라인 시험 진행…이틀간 일정 돌입"
42,"삼성, 상반기 이어 하반기에도 '온라인' 필기시험 실시.. 상반기..."
43,"""난이도 평이·시험방식 개선""..삼성 온라인 GSAT 후기 보니"
44,"삼성전자 등 삼성그룹 20개사, 하반기 대졸 신입사원 공채 GSAT ..."
46,가습기 살균제 등 유해물질 시험결과 온라인 공개
47,"온라인 시험 중 음란물 재생한 원어민 교수…학교 측, 진상 파악 중"
48,삼성 공채 필기시험 오늘부터 이틀간 온라인으로 진행
49,"'삼성 고시' 온라인 공채필기시험..""이번엔 불싸트 아니다"""
50,"교원구몬, ‘구몬수학 우수회원 인정테스트’ 개최…""3만6000명 ..."
52,"삼성 '온라인 GSAT' 하반기 좀 원활... 응시생들 ""시험 난이도 평이"""
53,온라인 시험에 유튜브 설명회..'뉴노멀' 정착한 채용시장
54,"삼성 필기시험, 오늘부터 이틀간 온라인 실시"
55,삼성 공채 필기시험 오늘부터 이틀 간 온라인으로
57,삼성 공채 필기시험 이틀 간 온라인으로 실시
58,삼성 공채 필기시험 오늘부터 이틀 간 온라인으로
59,"삼성그룹 공채 필기시험, 오늘부터 이틀간 온라인 진행"
61,삼성 공채 필기시험 31일부터 이틀 간 온라인 응시
62,"해커스 주택관리사, 내년 시험 대비 ‘합격 전략 온라인 설명회’..."
63,"에듀윌 한자시험 교재, 양대 온라인서점 베스트셀러 1위 기염"
64,삼성 직무적성검사 시험 첫날 안정적 종료..난이도 평이
65,삼성 하반기 신입사원 공채 필기시험 오늘부터 이틀간 온라인으로...
66,'AI 감독관'이 무인 시험 환경 앞당긴다..부산대 첫 적용
67,"해커스, 오는 7일 '공인중개사 시험 온라인 합격전략 설명회' 무..."
68,가천문화재단 과거시험 재현 '등용문' 온라인 개최
69,LG그룹 채용시험에 온라인 시험 도입
70,하반기 '온라인 삼성고시' 종료..상반기보다 원활(종합)
71,"삼성 두 번째 온라인 GSAT 진행..""상반기보다 원활"""
72,'온라인 삼성고시' 종료..난이도는?
73,두번째 온라인 삼성 고시.. 상반기보다 안정
74,"온라인 삼성고시 ""불싸트는 아니지만 시간 부족해"""
75,두 번째 치러진 '온라인 삼성 고시'..상반기보다 원활
76,하반기 '온라인 삼성고시' 종료..상반기보다 원활
78,삼성 공채 필기시험 오늘부터 이틀 간 온라인으로
79,두 번째 온라인 삼성 GSAT 실시..11월 대면 면접
80,'삼성 고시' 하반기 GSAT 실시..코로나에 온라인으로
81,"항암요법연구회-임상시험지원재단, 온라인 공청회 성료"
82,"삼성 GSAT 온라인 진행.. ""난이도 평이했다"""
83,"'삼성 고시' 하반기 GSAT 온라인으로 진행..응시자들 ""난이도 평..."
84,온라인 시험 확대와 유튜브 설명회... 언택트로 자리잡은 채용시장
85,"에듀윌, 공인중개사 시험 '합격전략 온라인 설명회' 개최"
86,"식약처, 덴마크 의약품청과 임상시험 온라인 워크숍 개최"
87,하반기 '온라인 삼성고시' 종료..상반기보다 원활
88,"올해 두 번째 '온라인 삼성고시' ""불싸트 아니지만 시간 부족"""
89,"[인공지능시대 미래교육] 시험, 언제까지 펜으로?...""디지털 시험..."
90,"삼성고시 'GSAT', 하반기도 온라인 실시..이달 중 대면 면접"
91,"홍익대 원어민 교수, 시험문제 내고 '음란물' 시청..학생에게 개..."
92,"삼성그룹 공채 필기시험, 오늘부터 이틀간 온라인 진행"
93,"하반기 온라인 삼성직무적성검사 첫날..응시자들 ""불GSAT 없었다"""
94,상반기보다 원활했던 두 번째 '온라인 삼성 고시'
95,"싱가폴 화총국제학교(HCIS), 28일 온라인 입학시험 진행"
96,"코로나19가 낳은 ‘채용 시험’ 다변화, ‘각양각색’ 취업 조력 ..."
97,"초유의 '온라인' 삼성고시 GSAT..""이렇게 하면 짤립니다"""
98,"국가임상시험지원재단, APEC 비대면 온라인 교육 성료"
99,"해커스 경영아카데미, 세무사 1차 시험 합격 돕는 '온라인 기본종..."
100,"대한항암요법연구회-국가임상시험지원재단, 온라인 공청회 성료"
101,"대한항암요법연구회-국가임상시험지원재단, 온라인 공청회 성료"
102,"대한항암요법연구회-국가임상시험지원재단, 온라인 공청회 성료"
103,삼성 공채 필기시험 오늘부터 이틀간 온라인으로 실시
104,삼성·LG·KT '온라인 시험'..GS·CJ '화상면접'
105,온라인 반려인능력시험 인기 ↑..응시인원 5000명으로 증원
107,"코로나 채용한파에도..삼성, 하반기 온라인 GSAT시행"
108,"전남대, 시험/강의/회의 온라인으로 진행.. 교육혁신 '앞장'"
109,"삼성, 하반기 신입 공채 필기시험 오늘부터..이틀 간 온라인으로 ..."
110,삼성 하반기 GSAT 온라인 시행..상반기보다 원활히 진행
111,'삼성 고시' GSAT 내일부터 이틀간 실시..온라인으로 진행
112,올해 두 번째 '온라인 삼성 고시'..상반기보다 원활
113,"'삼성고시' GSAT, 31일부터 이틀간 온라인 실시..난이도 등 변수"
114,온라인 시험 치르려 '나무'에 오른 말레이 대학생 사연
115,무인-AI 감독관시험 대학가 등장…UBT클라우드·REC 등 적용
116,"메가랜드, ‘공인중개사 시험 합격 전략 설명회’ 온라인 진행"
117,"리눅스 자격증 LPIC, 불합격한 응시자 무료 시험 바우처 제공"
118,'삼성 입사시험' 31일부터 이틀간 온라인으로
119,"전남대, 온라인 교육 혁신 앞장…’부정행위 방지‘ 비대면 시험 ..."
120,"삼성, 하반기 공채 필기시험 시작···""상반기처럼 '불싸트'는 ..."
121,"취준생 10명 중 6명 ""온라인으로 인적성 검사 진행""..가장 어려운..."
122,"삼성 입사시험, 온라인으로 31일부터 이틀간 진행"
123,"한국평생교육평가원, 전국 온라인 비대면 IBT 자격검정시험(한자 ..."
125,대기업 하반기 신입사원 공채 '스타트'..온라인 시험 확대
126,"대한항암요법연구회·국가임상시험지원재단, 온라인 공청회 성료..."
127,11일부터 17일까지 소방간부후보생 선발시험 원서접수
128,"삼성, 하반기 ‘온라인 GSAT’ 무사히 종료 ""향후 정례화 검토"""
129,부산대 치전원에 ‘AI 시험감독관’ 등장
130,2021년 9급공무원 시험 합격 전략 ‘에듀윌 공무원 온라인 설명회...
131,온라인 시험 치르려 나무 오른 말레이시아 대학생 '화제'
132,"하반기 '온라인 삼성 고시', 상반기보다 무난하게 치뤄져"
133,"식약처-덴마크 의약품청, 임상시험 온라인 워크숍 개최"
134,"[코로나가 바꾼 기업문화②]랜선 면접, 온라인 필기시험..비대면 ..."
135,"싱가폴 화총국제학교, 28일 온라인 입학시험 실시"
137,"[현장이슈] ﻿﻿삼성 신입공채 GSAT, 31일 시작 “모니터 짚어가며 풀..."
138,코로나가 바꾼 기업 입사 '3색 필기시험'
141,"온라인시험 커닝방지 기술, '재수학원'이 개발한다고?"
143,"환자 중심 임상시험 'DCT', 의약품 개발에 활용… 未허가약 평가도"
144,"[종합] 하반기 삼성 온라인 '직무적성검사(GSAT)' 종료… ""원활하..."
147,"식약처, 덴마크 의약품청과 임상시험 온라인 워크숍 개최"
148,"삼성, 하반기 '온라인 GSAT' 종료…UX 개선·난이도 평이"
150,"'댕댕이, 냥이' 사랑한다면..'반려견, 반려묘 능력시험'아세요?"
151,"""12번 수험생 커닝하네요""..온라인시험 AI 감독관 나온다"
153,"자가격리 학생, 9월 모의평가 실시간 온라인 시험 못 본다"
155,"SK, 25일 채용 필기시험 ..코로나에 고사장 네곳으로 확대"
157,[JOB리포트] 두 번째 실시되는 삼성 온라인 GSAT 대비전략은?
158,"삼성그룹 채용 직무적성검사 온라인으로 실시, 상반기보다 진행 원활"
159,"에듀윌 공인중개사, 31회 시험 종료…7일, ‘합격전략 온라인 설..."
161,"삼성 공채 필기시험 GSAT, 오늘부터 이틀 간 온라인서 진행"
163,"토플학원 '족집게어학원', 족집게 에듀의 소수정예 실시간 온라인..."
164,"렛유인, 온라인 삼성 GSAT 시험 대비 '무료 온라인 삼성 GSAT 모..."
165,"충북대, 청춘을 응원합니다"
166,"메가랜드, 31회 공인중개사 시험 가답안 서비스 ""가채점 하고 혜..."
168,"'자격증 시험도 비대면'..KAIT, 검색광고마케팅 시험 온라인으로"
169,'UX 개선·난이도 조정'..하반기 삼성 GSAT도 성공적 마무리
171,"성안당 e러닝, 교육·국가기술자격시험 부문 2020 소비자의 선택 ..."
172,"에듀윌 한국사, ‘베스트셀러 1위’ 한국사능력검정시험 교재 인기"
173,"충북교육청, 수능 방역대책 수립..시험전 고교 원격수업, 자가격..."
175,"메가랜드, 공인중개사 시험 가답안 합격완성 풀서비스 및 다양한 ..."
176,경쟁률 58대1..'고시'가 된 환경미화원 시험
177,"LPIC코리아, 자격증 시험 불합격자 대상 ‘챌린지 어게인’ 이벤트"
178,코로나 속 대기업 하반기 신입사원 공채 본격화…온라인 시험 확대
179,시험 도중 교수님 마이크에서 신음소리가…홍익대 조사 착수
180,"삼성 GSAT ""상반기 불싸트보다 난이도 평이"""
181,병원코디네이터 자격증 시험 대비 돕는 교육 커리큘럼 선착순 무...
182,"영국 연구팀, 이번엔 '아스피린' 임상시험..코로나19 치료제 될까?"
183,대기업 하반기 신입사원 공채 '스타트'..온라인 시험 확대
184,"가장 빠른 31회 공인중개사 시험 분석…에듀윌 공인중개사, 7일 ..."
185,"NIA, 인터넷중독전문상담사 자격시험 온라인으로 치른다"
186,삼성 하반기 공채 온라인으로 실시..상반기보다 '쉬웠다' 평가
187,"'삼성고시' 하반기 GSAT 오늘부터 시작..""난이도 무난했다""(종합)"
189,온라인 필기시험 도입한 동원..온라인 고민하는 농심
190,"한국장학진흥원, 카페창업 돕는 커피바리스타 자격증 시험 커리큘..."
191,16일 9월 모의평가 실시…자가격리자는 온라인 시험
192,"메가랜드, 공인중개사 시험 가답안 채점 풀서비스 제공.. 시험 총..."
193,"11월 8일 G-TELP 시험, 해커스 지텔프 자유게시판에서 지텔프 정..."
