,title,body,date,news
0,[단독]유료사이트서 답 구해 '복붙'..부정행위 얼룩진 대학가 중...,있다. 6일 교육계에 따르면 최근 비대면으로 치러진 연세대 공과대학의 2학기 중간고사에서 부정행위로 의심되는 행위가 적발돼 학생들 사이에서 논란이 일고 있다. 이 학교..., 2020.11.06 , 서울경제 
1,"'전참시' 구혜선, 중간고사→셀프 헤어컷..싱글 라이프 공개","[동아닷컴] ‘전참시’ 구혜선, 중간고사→셀프 헤어컷…싱글 라이프 공개 '전지적 참견 시점'에 구혜선이 뜬다. 7일 방송되는 MBC '전지적 참견 시점'(기획 박정규 / 연출...", 2020.11.05 , 스포츠동아 
2,고려대 대면 중간고사 본 학생 확진..건물 3개 폐쇄,© 뉴스1 (고려대학교 홈페이지) (서울=뉴스1) 서혜림 기자 = 고려대학교에서 중간고사를 보던 학부생이 신종 코로나바이러스 감염증(코로나19)에 확진돼 고려대 문과대학..., 2020.11.05 , 뉴스1 
3,사립고 중간고사 시험문제 베껴 출제 물의..재시험 검토,사진은 기사 내용과 관련 없음. (사진=스마트이미지 제공) 지역의 한 사립고에서 중간고사 시험 문제를 시중 문제집에서 그대로 베껴 출제해 물의를 빚고 있다. 5일 대구시..., 2020.11.05 , 노컷뉴스 
4,고려대서 중간고사 본 학생 코로나 확진.. 건물 3개 폐쇄,"고려대학교에서 중간고사를 보던 학부생이 코로나 확진 판정을 받았다. 고려대는 생명과학관 동관과 문과대학 서관, 우당교양관 등 건물 3곳을 폐쇄하고 방역 조치에 돌입...", 2020.11.05 , 조선비즈 
5,"'전참시' 구혜선, 중간고사→미술 작업..'구방미인' 라이프","작업실 라이프가 공개된다. 최근 녹화에서 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동을 벌였다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 스타뉴스 
6,"구혜선, 중간고사→작품활동..필터링 제로 일상오픈","시선을 TV 앞으로 끌어당길 예정. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 스타투데이 
7,"'전참시' 구혜선, 중간고사→작품활동..반전 일상 공개","이목을 집중시킬 것으로 기대된다. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 매진했다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , MBC연예 
8,"'전참시' 구혜선, 비밀 작업실 공개..중간고사→작품활동 '몰입'","TV 앞으로 끌어당길 예정입니다. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창입니다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , MBN 
9,'전참시' 구혜선이 뜬다..중간고사→작품활동까지 [M+TV컷],"시선을 TV 앞으로 끌어당길 예정. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , MBN 
10,[단독]유료사이트서 답 구해 '복붙'..부정행위 얼룩진 대학가 중...,있다. 6일 교육계에 따르면 최근 비대면으로 치러진 연세대 공과대학의 2학기 중간고사에서 부정행위로 의심되는 행위가 적발돼 학생들 사이에서 논란이 일고 있다. 이 학교..., 2020.11.06 , 서울경제 
11,"'전참시' 구혜선, 중간고사→셀프 헤어컷..싱글 라이프 공개","[동아닷컴] ‘전참시’ 구혜선, 중간고사→셀프 헤어컷…싱글 라이프 공개 '전지적 참견 시점'에 구혜선이 뜬다. 7일 방송되는 MBC '전지적 참견 시점'(기획 박정규 / 연출...", 2020.11.05 , 스포츠동아 
12,고려대 대면 중간고사 본 학생 확진..건물 3개 폐쇄,© 뉴스1 (고려대학교 홈페이지) (서울=뉴스1) 서혜림 기자 = 고려대학교에서 중간고사를 보던 학부생이 신종 코로나바이러스 감염증(코로나19)에 확진돼 고려대 문과대학..., 2020.11.05 , 뉴스1 
13,사립고 중간고사 시험문제 베껴 출제 물의..재시험 검토,사진은 기사 내용과 관련 없음. (사진=스마트이미지 제공) 지역의 한 사립고에서 중간고사 시험 문제를 시중 문제집에서 그대로 베껴 출제해 물의를 빚고 있다. 5일 대구시..., 2020.11.05 , 노컷뉴스 
14,고려대서 중간고사 본 학생 코로나 확진.. 건물 3개 폐쇄,"고려대학교에서 중간고사를 보던 학부생이 코로나 확진 판정을 받았다. 고려대는 생명과학관 동관과 문과대학 서관, 우당교양관 등 건물 3곳을 폐쇄하고 방역 조치에 돌입...", 2020.11.05 , 조선비즈 
15,"'전참시' 구혜선, 중간고사→미술 작업..'구방미인' 라이프","작업실 라이프가 공개된다. 최근 녹화에서 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동을 벌였다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 스타뉴스 
16,"구혜선, 중간고사→작품활동..필터링 제로 일상오픈","시선을 TV 앞으로 끌어당길 예정. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 스타투데이 
17,"'전참시' 구혜선, 중간고사→작품활동..반전 일상 공개","이목을 집중시킬 것으로 기대된다. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 매진했다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , MBC연예 
18,"'전참시' 구혜선, 비밀 작업실 공개..중간고사→작품활동 '몰입'","TV 앞으로 끌어당길 예정입니다. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창입니다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , MBN 
19,'전참시' 구혜선이 뜬다..중간고사→작품활동까지 [M+TV컷],"시선을 TV 앞으로 끌어당길 예정. 이날 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , MBN 
20,"'전참시' 구혜선, 중간고사 준비→셀프 앞머리 커트..필터링 없는...","시청자들의 시선을 사로잡을 예정이다.최근 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 텐아시아 
21,"'전참시' 구혜선, 출격..중간고사→작품활동까지 일상 大공개 [TV...","라이프가 공개된다. 최근 진행된 녹화에서 구혜선은 자신만의 작업실에서 대학원 중간고사 과제부터 작곡, 미술 등 작업 활동에 한창이다. 하지만 온라인 강의를 듣던 중...", 2020.11.05 , 스포츠투데이 
22,대면 중간고사 본 고려대생 1명 확진..3개 건물 임시폐쇄,고려대에서 중간고사 대면시험을 본 학부생 1명이 코로나19 확진 판정을 받은 것으로 확인됐습니다. 고려대학교는 이에 따라 확진 학생의 동선이 겹치는 문과대학 서관과...,,
23,"부산치대, AI 감독 중간고사 실시",치대)이 지난달 23일 인공지능이 감독하는 무인 감독 환경에서 중간고사를 치렀다. 이번 무인 감독 중간고사에는 엔에스데블의 비대면 온라인 및 오프라인 평가기술..., 2020.11.05 , 치과신문 
